Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
150,Malawi,7,7,67,3,10,3
151,Cambodia,7,7,49,0,7,3
152,Guinea,7,7,5,0,1,1
153,Turkmenistan,6,6,15,0,3,3
154,Dominican Republic,6,6,20,1,3,2
155,Sierra Leone,6,6,20,2,3,1
156,Eritrea,5,5,7,1,1,1
157,Guadeloupe,5,5,0,0,0,0
158,Chad,5,5,0,0,0,0
159,Afghanistan,5,5,5,0,1,1
160,Djibouti,4,4,27,0,7,3
161,New Caledonia,4,4,16,1,4,2
162,Equatorial Guinea,4,4,26,0,7,2
163,French Guiana,3,3,1,1,0,1
164,Greenland,3,3,70,0,23,3
165,Cape Verde,3,3,20,0,7,2
166,Bermuda,3,3,14,0,5,1
167,Netherlands Antilles,3,3,9,0,3,1
168,Samoa,3,3,18,1,6,1
169,Andorra,2,2,15,0,8,1
170,Mauritania,2,2,7,0,4,1
171,Antigua and Barbuda,2,2,0,0,0,0
172,Guyana,2,2,0,0,0,0
173,Haïti,2,2,8,1,4,2
174,Mali,2,2,2,0,1,1
175,Nauru,2,2,0,0,0,0
176,Burundi,2,2,26,0,13,1
177,Seychelles,2,2,8,2,4,1
178,Cayman Islands,2,2,3,0,2,1
179,Liberia,2,2,11,0,6,1
180,San Marino,2,2,0,0,0,0
181,Gibraltar,1,1,0,0,0,0
182,Palau,1,1,0,0,0,0
183,Gambia,1,1,0,0,0,0
184,Togo,1,1,0,0,0,0
185,Christmas Island,1,1,0,0,0,0
186,Maldives,1,1,1,0,1,1
187,Saint Lucia,1,1,0,0,0,0
188,Reunion,1,1,4,1,4,1
189,Saint Helena,1,1,36,0,36,1
190,American Samoa,1,1,0,0,0,0
191,Belize,1,1,9,0,9,1
192,British Indian Ocean Territory,1,1,45,0,45,1
